Date,Open,High,Low,Close,Adj Close,Volume,date,created_utc,reg_output
2022-05-02,286.92334,302.119995,282.676666,300.980011,300.980011,75781500,2022-05-02,1651433481.1411765,-0.046564752485578745
2022-05-03,301.059998,308.026672,296.196655,303.083344,303.083344,63709500,2022-05-03,1651527484.2903225,-0.1992035178015836
2022-05-04,301.313324,318.5,295.093323,317.540009,317.540009,81643800,2022-05-04,1651614252.30137,-0.0753890957664188
2022-05-05,313.006653,315.200012,285.899994,291.093323,291.093323,92519100,2022-05-05,1651701364.030905,-0.2665409944644691
2022-05-06,295.666656,296.0,281.036682,288.549988,288.549988,72903000,2022-05-06,1651790381.3391004,-0.06015990161407251
2022-05-09,278.816681,281.876678,260.383331,262.369995,262.369995,90810300,2022-05-09,1652049239.8333333,-0.2641850388438703
2022-05-10,273.103333,275.119995,258.083344,266.679993,266.679993,84401700,2022-05-10,1652135549.453505,-0.17700560996142378
2022-05-11,265.0,269.92334,242.399994,244.666672,244.666672,97224600,2022-05-11,1652213877.3333333,0.04952837154634774
2022-05-12,233.666672,253.220001,226.666672,242.666672,242.666672,140313000,2022-05-12,1652300803.5325365,-0.18792417173879591
2022-05-13,257.82666,262.450012,250.523331,256.529999,256.529999,92150700,2022-05-13,1652381480.3513098,-0.09905467739541124
2022-05-16,255.720001,256.58667,239.696671,241.456665,241.456665,86098500,2022-05-16,1652650603.0567465,-0.1522335089382881
2022-05-17,249.119995,254.82666,242.949997,253.869995,253.869995,80236200,2022-05-17,1652736311.8132102,-0.10711995299863536
2022-05-18,248.17334,253.5,233.603333,236.603333,236.603333,87811800,2022-05-18,1652829574.3967392,-0.08171424011569521
2022-05-19,235.666672,244.666672,231.369995,236.473328,236.473328,90296700,2022-05-19,1652906637.9867346,-0.07183136831142237
2022-05-20,237.996674,240.526672,211.0,221.300003,221.300003,144973200,2022-05-20,1652994942.5688074,-0.13298816607150019
2022-05-23,218.339996,226.653336,212.686661,224.96666,224.96666,88903500,2022-05-23,1653258502.2875288,-0.1083416740819231
2022-05-24,217.843338,217.973328,206.856674,209.386673,209.386673,89092500,2022-05-24,1653353137.6057692,-0.12086835892450136
2022-05-25,207.949997,223.106674,207.669998,219.600006,219.600006,92139300,2022-05-25,1653445065.911215,-0.1674965979164028
2022-05-26,220.473328,239.556671,217.886673,235.910004,235.910004,106003200,2022-05-26,1653512533.6804636,-0.16373495661460066
2022-05-27,241.083328,253.266663,240.176666,253.210007,253.210007,89295000,2022-05-27,1653595717.5714285,-0.03472019625561579
2022-05-31,257.946655,259.600006,244.743332,252.753326,252.753326,101914500,2022-05-31,1653953460.466546,-0.05470171681825059
2022-06-01,251.720001,257.32666,243.639999,246.789993,246.789993,77247900,2022-06-01,1654036417.6410255,-0.08551294190603165
2022-06-02,244.156662,264.209991,242.066666,258.333344,258.333344,93473100,2022-06-02,1654124857.6718955,-0.16702751622465287
2022-06-03,243.226669,247.796661,233.416672,234.516663,234.516663,112393800,2022-06-03,1654206775.2275362,-0.1018813856315556
2022-06-06,244.353333,244.866669,234.350006,238.279999,238.279999,84204600,2022-06-06,1654469136.326861,-0.024954276602085337
2022-06-07,234.0,239.996674,230.093338,238.886673,238.886673,72808500,2022-06-07,1654549052.3965516,-0.03374460851689988
2022-06-08,240.08667,249.963333,239.176666,241.866669,241.866669,76210500,2022-06-08,1654651901.470939,-0.020702639857519436
2022-06-09,249.339996,255.546661,239.32666,239.706665,239.706665,96491400,2022-06-09,1654724488.9377713,-0.09126112590541904
2022-06-10,235.156662,239.5,227.91333,232.229996,232.229996,97536600,2022-06-10,1654809976.7071526,-0.05383387163406183
2022-06-13,223.166672,226.633331,214.683334,215.736664,215.736664,102767400,2022-06-13,1655079041.2835443,-0.13219742610699886
2022-06-14,218.286667,226.330002,211.736664,220.889999,220.889999,97988700,2022-06-14,1655157008.3349674,-0.11841524953613806
2022-06-15,220.916672,235.66333,218.149994,233.0,233.0,119131800,2022-06-15,1655242163.885609,-0.130808946996945
2022-06-16,222.736664,225.166672,208.693329,213.100006,213.100006,107390700,2022-06-16,1655327244.907619,-0.18252492816425817
2022-06-17,213.433334,220.970001,213.196671,216.759995,216.759995,92641800,2022-06-17,1655422148.329646,-0.148993385031194
2022-06-21,224.603333,243.57666,224.333328,237.036667,237.036667,122793000,2022-06-21,1655764645.3312883,-0.048556744948778006
2022-06-22,234.503326,246.833328,233.82666,236.08667,236.08667,101107500,2022-06-22,1655845752.8604207,-0.10830593360547888
2022-06-23,237.906662,239.316666,228.636673,235.070007,235.070007,104202600,2022-06-23,1655944521.4572368,-0.2237720168747106
2022-06-24,237.470001,246.066666,236.08667,245.706665,245.706665,95770800,2022-06-24,1656042837.0052357,-0.2013740309570586
2022-06-27,249.366669,252.070007,242.566666,244.919998,244.919998,89178300,2022-06-27,1656276038.1045918,-0.09908869921625355
2022-06-28,244.483337,249.970001,232.343338,232.66333,232.66333,90391200,2022-06-28,1656364810.594203,-0.13787887065422808
2022-06-29,230.5,231.17334,222.273331,228.490005,228.490005,82897200,2022-06-29,1656450674.5763612,-0.04779153769130226
2022-06-30,224.509995,229.456665,218.863327,224.473328,224.473328,94600500,2022-06-30,1656524501.1578948,0.015475228867951054
2022-07-01,227.0,230.229996,222.119995,227.263336,227.263336,74460300,2022-07-01,1656621232.2,-0.08569715756069247
2022-07-05,223.0,233.146667,216.166672,233.066666,233.066666,84581100,2022-07-05,1656963378.3333333,-0.5058226835293075
2022-07-06,230.779999,234.563339,227.186661,231.733337,231.733337,71853600,2022-07-06,1657058648.4,-0.16385349112097175
2022-07-07,233.919998,245.363327,232.210007,244.543335,244.543335,81930600,2022-07-07,1657159974.7142856,-0.1574514348924692
2022-07-08,242.333328,254.979996,241.160004,250.763336,250.763336,101854200,2022-07-08,1657258635.5,-0.45317738410085434
2022-07-11,252.103333,253.063339,233.626663,234.343338,234.343338,99241200,2022-07-11,1657496892.0,-0.4934024078538641
2022-07-12,236.846664,239.773331,228.369995,233.070007,233.070007,87930900,2022-07-12,1657561079.6666667,-0.21607532627725354
2022-07-13,225.5,242.059998,225.03334,237.039993,237.039993,97954500,2022-07-13,0.0,0.0
2022-07-14,234.896667,238.653336,229.333328,238.313339,238.313339,78557400,2022-07-14,1657791316.5,-0.5638549189316109
2022-07-15,240.0,243.623337,236.889999,240.066666,240.066666,69683100,2022-07-15,1657837822.0,-0.15643808268941936
2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,2022-07-18,1658110665.875,-0.054614844164461794
2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,2022-07-19,1658166646.75,-0.15946320624789226
2022-07-20,246.78334,250.66333,243.483337,247.5,247.5,88864200,2022-07-20,1658252438.5,-0.15500076924217865
2022-07-21,255.106674,273.266663,254.866669,271.706665,271.706665,142032300,2022-07-21,1658369556.3333333,-0.2635580151109025
2022-07-22,276.220001,280.786682,270.713318,272.243347,272.243347,103472700,2022-07-22,1658429058.0,-0.468527215719223
2022-07-25,272.216675,274.146667,267.399994,268.433319,268.433319,64073400,2022-07-25,1658684379.0,0.0265763774514198
2022-07-26,266.513336,267.309998,256.263336,258.859985,258.859985,66820800,2022-07-26,1658786948.25,0.01321937299993202
2022-07-27,263.809998,275.926666,261.790009,274.820007,274.820007,88110000,2022-07-27,1658888136.0,0.2814422491064761
2022-07-28,280.066681,283.299988,272.799988,280.899994,280.899994,84723000,2022-07-28,1658958706.4,0.1446394392289221
2022-07-29,280.700012,298.320007,279.100006,297.149994,297.149994,95313000,2022-07-29,1659061856.6666667,0.24904178913372257
2022-08-01,301.276672,311.876678,295.0,297.276672,297.276672,117042900,2022-08-01,1659293623.0,0.20094145361023644
2022-08-02,294.003326,307.833344,292.666656,300.58667,300.58667,95577600,2022-08-02,1659399966.125,-0.30983461905270815
2022-08-03,305.0,309.549988,301.149994,307.396667,307.396667,80091000,2022-08-03,1659497882.5,0.024142662063241005
2022-08-04,311.0,313.606659,305.0,308.633331,308.633331,72256200,2022-08-04,1659573463.6666667,0.1557778652058914
2022-08-05,302.670013,304.606659,285.543335,288.170013,288.170013,113172900,2022-08-05,1659687672.0,0.3154564220458269
2022-08-08,295.0,305.200012,289.08667,290.42334,290.42334,98994000,2022-08-08,0.0,0.0
2022-08-09,290.293335,292.396667,279.353333,283.333344,283.333344,86244600,2022-08-09,1660016849.5,-0.6212820595052714
2022-08-10,297.066681,297.51001,283.369995,294.356659,294.356659,94918800,2022-08-10,1660064826.0,0.1628468269482255
2022-08-11,296.513336,298.236664,285.833344,286.630005,286.630005,70155000,2022-08-11,1660153831.0,-0.22207533672917634
2022-08-12,289.416656,300.160004,285.033325,300.029999,300.029999,79657200,2022-08-12,1660263629.0,-0.13775314041413364
2022-08-15,301.786682,313.133331,301.230011,309.320007,309.320007,89359200,2022-08-15,1660513660.2489083,-0.18579202240478354
2022-08-16,311.666656,314.666656,302.883331,306.563324,306.563324,88136400,2022-08-16,1660609356.7259786,-0.10765163552842942
2022-08-17,303.396667,309.656677,300.033325,303.996674,303.996674,68766000,2022-08-17,1660692827.3040686,-0.1252514139377179
