Date,Open,High,Low,Close,Adj Close,Volume,date,created_utc,reg_output
2023-01-19,127.260002,129.990005,124.309998,127.169998,127.169998,170291900,2023-01-19,0.0,0.0
2023-01-20,128.679993,133.509995,127.349998,133.419998,133.419998,138429900,2023-01-20,1674140538.6666667,-0.22011275286786258
2023-01-23,135.869995,145.380005,134.270004,143.75,143.75,203119200,2023-01-23,1674424472.5,-0.2363694708328694
2023-01-24,143.0,146.5,141.100006,143.889999,143.889999,158699100,2023-01-24,1674506543.0,-0.0106206256896257
2023-01-25,141.910004,146.410004,138.070007,144.429993,144.429993,192734300,2023-01-25,1674623416.0,-0.9111124658957124
2023-01-26,159.970001,161.419998,154.759995,160.270004,160.270004,234815100,2023-01-26,1674705879.0,-0.3322948983404786
2023-01-27,162.429993,180.679993,161.169998,177.899994,177.899994,305632100,2023-01-27,1674774207.0,-0.1636535190045833
2023-01-30,178.050003,179.770004,166.5,166.660004,166.660004,230878800,2023-01-30,0.0,0.0
2023-01-31,164.570007,174.300003,162.779999,173.220001,173.220001,196813500,2023-01-31,1675109373.5,0.1276906750863418
2023-02-01,173.889999,183.809998,169.929993,181.410004,181.410004,213806300,2023-02-01,1675187195.5,0.5292890184791758
2023-02-02,187.330002,196.75,182.610001,188.270004,188.270004,217448300,2023-02-02,1675303889.0,0.494302602019161
2023-02-03,183.949997,199.0,183.690002,189.979996,189.979996,231684200,2023-02-03,0.0,0.0
2023-02-06,193.009995,198.169998,189.919998,194.759995,194.759995,186188100,2023-02-06,0.0,0.0
2023-02-07,196.429993,197.5,189.550003,196.809998,196.809998,186010300,2023-02-07,0.0,0.0
2023-02-08,196.100006,203.0,194.309998,201.289993,201.289993,180673600,2023-02-08,0.0,0.0
2023-02-09,207.779999,214.0,204.770004,207.320007,207.320007,215431400,2023-02-09,1675925632.0,0.0620514880865812
2023-02-10,202.229996,206.199997,192.889999,196.889999,196.889999,204193800,2023-02-10,1676015206.0,-0.3691453691571951
2023-02-13,194.419998,196.300003,187.610001,194.639999,194.639999,172475500,2023-02-13,1676229385.0,-0.6080412563557426
2023-02-14,191.940002,209.820007,189.440002,209.25,209.25,216455700,2023-02-14,1676335865.0,0.9900018514599652
2023-02-15,211.759995,214.660004,206.110001,214.240005,214.240005,182108600,2023-02-15,0.0,0.0
2023-02-16,210.779999,217.649994,201.839996,202.039993,202.039993,229586500,2023-02-16,1676506802.0,-0.9185931822285056
