Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,50.650002,50.889999,50.230000,50.880001,41.264507,1590300
2016-01-05,50.849998,51.430000,50.009998,51.349998,41.645672,1087100
2016-01-06,51.040001,51.650002,50.730000,51.459999,41.734886,1265500
2016-01-07,50.799999,51.290001,50.759998,51.139999,41.475365,2141700
2016-01-08,51.169998,51.490002,50.720001,50.820000,41.215836,1290200
2016-01-11,50.910000,51.320000,50.580002,51.029999,41.386147,1097500
2016-01-12,51.270000,51.439999,50.400002,51.119999,41.459145,1555400
2016-01-13,51.270000,51.730000,51.060001,51.299999,41.605129,2202100
2016-01-14,51.279999,52.220001,50.570000,51.860001,42.059292,4149300
2016-01-15,51.299999,51.720001,50.820000,51.389999,41.678120,3195700
2016-01-19,51.450001,52.750000,51.380001,52.590000,42.651340,2777800
2016-01-20,52.369999,52.650002,50.520000,51.150002,41.483475,3408700
2016-01-21,51.270000,51.470001,50.209999,50.580002,41.021191,2350200
2016-01-22,50.630001,51.630001,50.160000,51.580002,41.832214,1836500
2016-01-25,51.619999,51.970001,51.220001,51.639999,41.880875,1950700
2016-01-26,51.770000,52.680000,51.740002,52.150002,42.294495,1538600
2016-01-27,52.230000,52.680000,51.840000,52.320000,42.432362,1753400
2016-01-28,52.189999,53.520000,51.759998,53.090000,43.056847,1850500
2016-01-29,53.630001,54.150002,53.369999,53.799999,43.632671,3007800
2016-02-01,53.599998,54.919998,53.490002,54.570000,44.257164,2791300
2016-02-02,54.270000,55.230000,54.029999,55.080002,44.670761,1859500
2016-02-03,55.470001,55.970001,55.340000,55.720001,45.189823,1939300
2016-02-04,55.630001,55.910000,54.840000,54.930000,44.549118,3347600
2016-02-05,54.410000,54.860001,53.389999,54.660000,44.330147,3111400
2016-02-08,54.139999,54.779999,53.430000,54.090000,43.867870,3262400
2016-02-09,54.000000,54.900002,53.840000,54.689999,44.354469,3068300
2016-02-10,54.480000,55.279999,53.810001,54.939999,44.557224,2036700
2016-02-11,54.790001,55.130001,53.790001,53.900002,43.713764,2151300
2016-02-12,53.880001,54.070000,52.930000,53.509998,43.397472,2236500
2016-02-16,53.849998,53.980000,53.119999,53.860001,43.681332,1781800
2016-02-17,53.810001,53.900002,53.290001,53.540001,43.421803,1368000
2016-02-18,53.650002,54.740002,53.529999,54.459999,44.167934,1803900
2016-02-19,54.419998,54.740002,53.830002,54.669998,44.338253,2494800
2016-02-22,54.830002,55.509998,54.660000,55.340000,44.881634,1283500
2016-02-23,55.020000,56.000000,55.020000,55.840000,45.287144,1595600
2016-02-24,55.540001,56.490002,55.540001,56.230000,45.603443,1720300
2016-02-25,56.450001,56.919998,56.250000,56.660000,45.952171,1060500
2016-02-26,56.419998,56.470001,54.750000,54.770000,44.419361,1570300
2016-02-29,54.279999,54.840000,53.930000,54.299999,44.398914,1808600
2016-03-01,54.500000,54.869999,53.799999,54.230000,44.341682,2106500
2016-03-02,53.959999,54.380001,52.619999,54.340000,44.431614,1800700
2016-03-03,54.439999,54.660000,53.590000,54.630001,44.668743,1185200
2016-03-04,54.330002,55.689999,54.130001,55.540001,45.412815,1839900
2016-03-07,55.320000,56.270000,55.320000,56.110001,45.878876,2661600
2016-03-08,56.349998,57.029999,55.889999,56.689999,46.353119,1955800
2016-03-09,56.590000,57.160000,56.400002,56.869999,46.500298,1648700
2016-03-10,56.919998,57.250000,56.070000,56.500000,46.197777,2157900
2016-03-11,56.720001,57.000000,56.360001,56.549999,46.238640,1655400
2016-03-14,56.590000,56.830002,56.150002,56.740002,46.393990,1581400
2016-03-15,56.730000,57.349998,56.459999,56.750000,46.402168,1990900
2016-03-16,56.500000,57.580002,56.049999,57.389999,46.925480,1406500
2016-03-17,57.540001,58.090000,57.320000,57.840000,47.293427,2626700
2016-03-18,57.820000,58.070000,57.180000,57.189999,46.761951,3055300
2016-03-21,57.099998,57.820000,56.740002,57.349998,46.892769,1657600
2016-03-22,57.349998,57.669998,57.070000,57.480000,46.999069,2030800
2016-03-23,57.490002,58.080002,57.130001,57.930000,47.367012,1344200
2016-03-24,57.740002,58.290001,57.650002,57.830002,47.285244,1284300
2016-03-28,58.099998,58.419998,57.630001,57.770000,47.236198,681800
2016-03-29,58.000000,58.599998,57.700001,58.529999,47.857609,1309600
2016-03-30,58.650002,58.810001,58.259998,58.389999,47.743137,1204200
2016-03-31,58.060001,58.509998,58.029999,58.340000,47.702263,2432400
2016-04-01,57.900002,58.939999,57.900002,58.799999,48.078373,1515600
2016-04-04,58.869999,59.090000,58.279999,58.590000,47.906670,1290200
2016-04-05,58.509998,58.660000,57.029999,57.080002,46.672001,2299900
2016-04-06,57.000000,57.169998,56.540001,56.889999,46.516659,2047000
2016-04-07,56.759998,57.330002,56.540001,56.799999,46.443062,1801500
2016-04-08,57.060001,57.599998,56.950001,57.049999,46.647465,1788200
2016-04-11,57.060001,57.430000,56.610001,56.630001,46.304066,1699900
2016-04-12,56.669998,56.799999,56.430000,56.669998,46.336765,1764300
2016-04-13,56.860001,56.860001,55.950001,56.070000,45.846169,1752200
2016-04-14,55.980000,56.220001,55.840000,56.099998,45.870697,1695000
2016-04-15,56.060001,56.959999,55.950001,56.720001,46.377659,1892700
2016-04-18,56.630001,57.130001,56.500000,57.119999,46.704708,1609300
2016-04-19,57.230000,57.330002,56.700001,57.040001,46.639297,1477600
2016-04-20,57.139999,57.330002,55.560001,55.639999,45.494583,1668200
2016-04-21,55.410000,55.610001,54.509998,55.020000,44.987621,2802500
2016-04-22,55.189999,55.520000,55.169998,55.400002,45.298336,1693600
2016-04-25,55.180000,55.580002,55.060001,55.500000,45.380104,1223600
2016-04-26,55.570000,55.810001,55.150002,55.360001,45.265629,1337000
2016-04-27,55.459999,56.270000,55.139999,56.049999,45.829815,1662900
2016-04-28,55.419998,56.330002,55.299999,56.060001,45.837994,1486300
2016-04-29,55.869999,56.560001,55.389999,56.439999,46.148701,1394000
2016-05-02,56.599998,57.320000,56.490002,57.070000,46.663826,1329800
2016-05-03,57.080002,57.250000,56.630001,56.970001,46.582050,1128800
2016-05-04,57.000000,58.060001,56.830002,57.509998,47.023598,1617700
2016-05-05,55.639999,58.259998,55.639999,57.400002,46.933662,2212100
2016-05-06,57.410000,57.419998,56.480000,57.160000,46.737423,2007600
2016-05-09,57.209999,57.680000,56.919998,57.580002,47.080845,1340200
2016-05-10,57.799999,57.860001,57.320000,57.540001,47.048126,1287000
2016-05-11,57.639999,57.840000,56.990002,57.360001,46.900951,2016400
2016-05-12,57.299999,58.070000,57.169998,57.630001,47.121719,2605800
2016-05-13,57.660000,57.740002,57.080002,57.389999,46.925480,1351400
2016-05-16,57.279999,57.450001,56.950001,57.380001,46.917305,1361600
2016-05-17,57.209999,57.270000,55.619999,55.820000,45.641750,2676900
2016-05-18,55.480000,56.040001,54.570000,54.790001,44.799572,2530900
2016-05-19,54.509998,55.320000,54.279999,55.290001,45.208389,1894200
2016-05-20,55.480000,55.490002,54.450001,54.910000,44.897678,2698000
2016-05-23,54.910000,55.000000,54.130001,54.160000,44.284439,1795800
2016-05-24,54.200001,54.730000,53.950001,54.669998,44.701447,1649600
2016-05-25,54.509998,54.779999,54.189999,54.299999,44.398914,1505600
2016-05-26,53.900002,54.830002,53.900002,54.799999,45.177982,2818900
2016-05-27,54.849998,55.080002,54.669998,55.009998,45.351116,1296500
2016-05-31,54.869999,55.310001,54.669998,55.240002,45.540737,2213200
2016-06-01,55.169998,55.529999,55.070000,55.520000,45.771553,2421600
2016-06-02,55.500000,55.549999,54.860001,55.349998,45.631405,1827800
2016-06-03,55.930000,56.599998,55.930000,56.160000,46.299191,1306800
2016-06-06,56.160000,56.340000,55.580002,55.820000,46.018890,1497500
2016-06-07,55.880001,56.209999,55.599998,55.700001,45.919960,1132600
2016-06-08,55.730000,56.340000,55.560001,56.330002,46.439342,1469000
2016-06-09,56.349998,56.970001,56.270000,56.880001,46.892765,1240900
2016-06-10,56.840000,57.189999,56.509998,56.680000,46.727886,993800
2016-06-13,56.860001,57.180000,56.660000,56.919998,46.925739,1423900
2016-06-14,56.919998,57.290001,56.490002,57.290001,47.230778,1010800
2016-06-15,57.299999,57.360001,56.389999,56.520000,46.595978,1448000
2016-06-16,56.509998,57.020000,56.369999,56.779999,46.810314,1203000
2016-06-17,56.770000,56.889999,56.349998,56.889999,46.901020,1858700
2016-06-20,56.849998,57.040001,56.320000,56.820000,46.843315,1425000
2016-06-21,56.810001,57.349998,56.529999,57.029999,47.016434,1205800
2016-06-22,57.299999,57.299999,56.689999,56.689999,46.736134,1175200
2016-06-23,56.720001,56.810001,56.139999,56.419998,46.513542,1770700
2016-06-24,56.130001,57.689999,55.880001,57.220001,47.173073,2366500
2016-06-27,57.119999,58.820000,57.119999,58.590000,48.302517,2988100
2016-06-28,58.570000,58.590000,57.540001,58.330002,48.088173,1643800
2016-06-29,58.509998,58.779999,58.250000,58.580002,48.294281,1332000
2016-06-30,58.660000,59.950001,58.549999,59.900002,49.382515,2567100
2016-07-01,60.080002,60.080002,59.119999,59.709999,49.225864,1631600
2016-07-05,59.810001,60.430000,59.799999,60.250000,49.671051,1413400
2016-07-06,60.299999,60.439999,59.680000,60.240002,49.662811,1425900
2016-07-07,60.180000,60.230000,59.080002,59.349998,48.929081,1856300
2016-07-08,59.009998,59.599998,58.480000,59.570000,49.110447,2079300
2016-07-11,59.330002,59.430000,58.730000,59.330002,48.912594,1744700
2016-07-12,58.980000,59.049999,57.849998,57.880001,47.717186,2097300
2016-07-13,58.090000,58.400002,57.980000,58.310001,48.071693,2151300
2016-07-14,57.919998,58.070000,57.529999,57.750000,47.610008,2113600
2016-07-15,57.810001,58.130001,57.689999,57.869999,47.708939,1560900
2016-07-18,57.930000,58.360001,57.790001,58.130001,47.923294,1236300
2016-07-19,58.169998,58.320000,57.740002,58.090000,47.890316,1287900
2016-07-20,58.160000,58.169998,57.770000,57.900002,47.733681,811700
2016-07-21,57.840000,58.119999,57.509998,58.009998,47.824356,1688800
2016-07-22,58.049999,59.029999,58.049999,58.880001,48.541599,1215900
2016-07-25,58.779999,58.990002,58.430000,58.869999,48.533360,677000
2016-07-26,58.869999,58.919998,58.169998,58.310001,48.071693,1048700
2016-07-27,58.119999,58.330002,57.240002,57.709999,47.577023,1259900
2016-07-28,57.580002,58.259998,57.580002,57.970001,47.791378,1337800
2016-07-29,58.150002,58.689999,58.020000,58.490002,48.220078,1349600
2016-08-01,58.619999,59.279999,58.580002,59.029999,48.665260,1946000
2016-08-02,58.790001,59.009998,58.110001,58.490002,48.220078,1364100
2016-08-03,58.520000,58.790001,57.330002,57.580002,47.469872,1554300
2016-08-04,57.599998,57.990002,57.450001,57.619999,47.502834,1356800
2016-08-05,57.240002,57.660000,56.459999,56.740002,46.777340,2158200
2016-08-08,56.889999,57.180000,56.430000,56.770000,46.802082,1479800
2016-08-09,56.779999,57.259998,56.639999,56.840000,46.859787,799700
2016-08-10,56.980000,57.110001,56.820000,56.939999,46.942234,722400
2016-08-11,56.980000,57.169998,56.770000,57.150002,47.115368,986400
2016-08-12,57.320000,57.619999,57.130001,57.250000,47.197811,650400
2016-08-15,57.369999,57.369999,56.340000,56.369999,46.472317,1176200
2016-08-16,56.220001,56.389999,55.470001,55.470001,45.730343,1421700
2016-08-17,55.410000,55.910000,54.180000,55.770000,45.977657,4311300
2016-08-18,55.599998,56.590000,55.599998,56.529999,46.604229,2493400
2016-08-19,56.330002,56.470001,55.270000,55.540001,45.788055,1538800
2016-08-22,55.650002,55.959999,55.549999,55.630001,45.862251,1015000
2016-08-23,55.669998,56.180000,55.250000,55.279999,45.573704,959400
2016-08-24,55.200001,55.349998,54.779999,55.340000,45.623165,1140700
2016-08-25,55.310001,55.630001,55.209999,55.270000,45.565464,1138300
2016-08-26,55.419998,55.770000,54.060001,54.119999,44.617378,1401700
2016-08-29,54.290001,54.680000,54.250000,54.369999,44.823483,995100
2016-08-30,54.340000,54.639999,53.689999,53.740002,44.304104,1202800
2016-08-31,53.709999,53.980000,53.580002,53.970001,44.493729,1503100
2016-09-01,53.959999,54.000000,53.490002,53.590000,44.180439,1134100
2016-09-02,53.590000,54.450001,53.549999,54.369999,44.823483,1624800
2016-09-06,54.610001,55.139999,54.400002,54.959999,45.309887,1352200
2016-09-07,54.900002,54.970001,54.560001,54.869999,45.235691,903200
2016-09-08,54.730000,55.119999,54.630001,55.009998,45.351116,1009700
2016-09-09,54.520000,54.599998,53.240002,53.250000,43.900146,2740000
2016-09-12,53.340000,54.410000,53.080002,54.310001,44.774021,2766200
2016-09-13,54.240002,54.270000,53.380001,53.610001,44.196926,2782200
2016-09-14,53.840000,54.240002,53.410000,53.700001,44.271130,1651400
2016-09-15,53.240002,53.860001,53.040001,53.770000,44.699245,1265000
2016-09-16,53.619999,54.259998,53.330002,54.180000,45.040081,2736500
2016-09-19,54.389999,54.630001,54.180000,54.590000,45.380920,1426100
2016-09-20,54.860001,55.020000,54.410000,54.430000,45.247913,1633100
2016-09-21,54.380001,55.490002,54.320000,55.450001,46.095852,1979600
2016-09-22,55.779999,56.060001,55.450001,55.820000,46.403416,1871900
2016-09-23,55.650002,56.410000,55.520000,56.230000,46.744270,1731600
2016-09-26,56.240002,56.590000,56.049999,56.340000,46.835709,1769400
2016-09-27,56.660000,56.840000,55.299999,55.410000,46.062592,1374900
2016-09-28,55.509998,55.580002,54.810001,55.240002,45.921272,1120300
2016-09-29,54.950001,55.150002,54.279999,54.689999,45.464046,1197700
2016-09-30,54.910000,55.220001,53.810001,54.180000,45.040081,2550600
2016-10-03,54.000000,54.029999,53.110001,53.540001,44.508041,1677000
2016-10-04,53.279999,53.400002,52.320000,52.610001,43.734947,2520200
2016-10-05,53.220001,53.240002,52.180000,52.560001,43.693371,2671500
2016-10-06,52.529999,52.820000,51.990002,52.720001,43.826382,1808700
2016-10-07,53.009998,53.570000,52.290001,52.439999,43.593613,1509700
2016-10-10,52.459999,52.810001,52.340000,52.759998,43.859631,1110900
2016-10-11,52.660000,52.660000,51.880001,51.980000,43.211208,1781300
2016-10-12,52.049999,52.660000,52.029999,52.580002,43.710007,2211900
2016-10-13,52.709999,53.540001,52.540001,53.299999,44.308525,1850300
2016-10-14,53.070000,53.810001,52.950001,53.180000,44.208790,1412900
2016-10-17,53.240002,53.770000,53.240002,53.750000,44.682636,1455100
2016-10-18,54.049999,54.299999,53.360001,54.130001,44.998520,1308800
2016-10-19,54.130001,54.189999,53.590000,53.970001,44.865505,1629600
2016-10-20,54.160000,54.590000,53.910000,54.119999,44.990204,1070000
2016-10-21,53.740002,54.259998,53.740002,54.000000,44.890438,1826600
2016-10-24,54.189999,54.410000,53.740002,54.130001,44.998520,1008700
2016-10-25,53.950001,54.520000,53.869999,54.299999,45.139839,1260600
2016-10-26,54.200001,54.430000,53.779999,54.310001,45.148155,1584900
2016-10-27,54.000000,54.180000,53.549999,53.910000,44.815636,1534800
2016-10-28,54.040001,54.410000,53.840000,54.200001,45.056713,867800
2016-10-31,54.360001,55.470001,54.290001,55.060001,45.771629,1490100
2016-11-01,55.160000,55.160000,53.939999,54.080002,44.956959,1378300
2016-11-02,53.889999,54.459999,52.759998,53.439999,44.424919,2505000
2016-11-03,53.259998,53.630001,53.000000,53.380001,44.375038,1749300
2016-11-04,53.639999,54.369999,53.169998,53.180000,44.208790,1658300
2016-11-07,53.480000,54.299999,52.990002,54.290001,45.131527,1282300
2016-11-08,54.470001,55.330002,54.439999,55.029999,45.746685,1901500
2016-11-09,54.119999,54.119999,53.139999,53.230000,44.250343,2228100
